03:30PM on January 26,2018
25.00,17.00
24.00, 7.61
23.00, 6.47
03:32PM on January 26,2018
124.00,17.12
123.00,13.75
121.00, 4.64
03:33PM on January 26,2018
164.00,17.12
163.00,12.14
162.00, 3.53
03:33PM on January 26,2018
184.00,19.02
184.00,12.36
182.00,11.76
03:35PM on January 26,2018
 5.00,14.00
 6.00, 1.90
 7.00, 3.24
 7.00,16.18
03:35PM on January 26,2018
23.00, 3.24
23.00,12.94
25.00, 3.00
26.00,17.12
03:36PM on January 26,2018
42.00, 9.99
43.00, 7.28
43.00,13.75
45.00,17.00
03:36PM on January 26,2018
43.00, 7.28
43.00,13.75
45.00,17.00
45.00,20.00
03:36PM on January 26,2018
61.00, 5.87
63.00, 2.43
64.00, 7.61
64.00,17.12
03:36PM on January 26,2018
63.00, 2.43
64.00, 7.61
64.00,17.12
66.00,16.17
03:38PM on January 26,2018
42.00, 9.99
43.00, 8.09
44.00,10.46
45.00,19.00
03:38PM on January 26,2018
44.00,10.46
45.00,19.00
46.00, 3.80
47.00,16.18
03:38PM on January 26,2018
61.00, 5.25
62.00, 6.47
63.00, 6.47
64.00,17.12
