Test-File1,Y-unit!,1
04:19PM on January 30,2018,1
 0.00,15.00,1
 1.00, 1.62,1
 2.00, 2.78,1
 3.00,-3.09,1
 4.00,-4.05,1
 5.00,-19.00,1
 6.00,-11.33,1
 7.00,-2.78,1
 8.00, 4.94,1
 9.00, 2.43,1
10.00,28.00,1
Test-File3,Y-unit!,2
04:19PM on January 30,2018,2
 0.00, 4.00,2
 1.00,16.17,2
 2.00, 2.43,2
 3.00,10.58,2
 4.00, 7.42,2
 5.00, 0.00,2
 6.00,-4.64,2
 7.00,-17.05,2
 8.00,-19.42,2
 9.00,-7.61,2
10.00,-16.00,2
11.00,-10.46,2
12.00,-5.66,2
13.00,-14.11,2
14.00,-2.78,2
15.00,-0.00,2
16.00, 4.33,2
17.00, 2.35,2
18.00, 9.71,2
19.00,17.12,2
20.00,20.00,2
Test-File3,Y-unit!,3
04:19PM on January 30,2018,3
 0.00, 4.00,3
 1.00,16.17,3
 2.00, 2.43,3
 3.00,10.58,3
 4.00, 7.42,3
 5.00, 0.00,3
 6.00,-4.64,3
 7.00,-17.05,3
 8.00,-19.42,3
 9.00,-7.61,3
10.00,-16.00,3
11.00,-10.46,3
12.00,-5.66,3
13.00,-14.11,3
14.00,-2.78,3
15.00,-0.00,3
16.00, 4.33,3
17.00, 2.35,3
18.00, 9.71,3
19.00,17.12,3
20.00,20.00,3
Test-File3,Y-unit!,4
04:19PM on January 30,2018,4
 0.00, 4.00,4
 1.00,16.17,4
 2.00, 2.43,4
 3.00,10.58,4
 4.00, 7.42,4
 5.00, 0.00,4
 6.00,-4.64,4
 7.00,-17.05,4
 8.00,-19.42,4
 9.00,-7.61,4
10.00,-16.00,4
11.00,-10.46,4
12.00,-5.66,4
13.00,-14.11,4
14.00,-2.78,4
15.00,-0.00,4
16.00, 4.33,4
17.00, 2.35,4
18.00, 9.71,4
19.00,17.12,4
20.00,20.00,4
21.00,19.02,4
22.00, 4.05,4
Test-File4,Y-unit!,5
04:19PM on January 30,2018,5
 0.00, 0.00,5
 1.00, 2.35,5
 2.00,27.58,5
 3.00,14.27,5
 4.00, 3.53,5
 5.00, 0.00,5
 6.00,-8.23,5
 7.00,-13.31,5
 8.00,-9.51,5
 9.00,-7.64,5
10.00,-0.00,5
11.00, 5.88,5
12.00, 2.85,5
13.00, 5.71,5
14.00, 8.82,5
15.00, 0.00,5
16.00,-12.93,5
17.00,-5.71,5
18.00,-18.07,5
19.00,-8.82,5
20.00,-0.00,5
21.00,17.63,5
22.00,11.41,5
Test-File2,Y-unit!,6
04:19PM on January 30,2018,6
 0.00, 0.00,6
 1.00, 4.33,6
 2.00, 5.29,6
 3.00,13.75,6
 4.00,12.36,6
 5.00, 5.00,6
 6.00, 6.66,6
 7.00, 1.62,6
 8.00,15.87,6
 9.00, 0.62,6
10.00, 0.00,6
11.00,-7.42,6
12.00,-5.29,6
13.00,-16.99,6
14.00,-28.53,6
15.00,-9.00,6
16.00,-4.76,6
17.00,-17.80,6
18.00,-8.23,6
19.00,-5.25,6
20.00,-0.00,6
21.00, 2.78,6
22.00,11.76,6
23.00,15.37,6
24.00,16.17,6
Test-File2,Y-unit!,7
04:19PM on January 30,2018,7
 0.00, 0.00,7
 1.00, 4.33,7
 2.00, 5.29,7
 3.00,13.75,7
 4.00,12.36,7
 5.00, 5.00,7
 6.00, 6.66,7
 7.00, 1.62,7
 8.00,15.87,7
 9.00, 0.62,7
10.00, 0.00,7
11.00,-7.42,7
12.00,-5.29,7
13.00,-16.99,7
14.00,-28.53,7
15.00,-9.00,7
16.00,-4.76,7
17.00,-17.80,7
18.00,-8.23,7
19.00,-5.25,7
20.00,-0.00,7
21.00, 2.78,7
22.00,11.76,7
23.00,15.37,7
24.00,16.17,7
Test-File4,Y-unit!,8
04:19PM on January 30,2018,8
 0.00, 0.00,8
 1.00, 2.35,8
 2.00,27.58,8
 3.00,14.27,8
 4.00, 3.53,8
 5.00, 0.00,8
 6.00,-8.23,8
 7.00,-13.31,8
 8.00,-9.51,8
 9.00,-7.64,8
10.00,-0.00,8
11.00, 5.88,8
12.00, 2.85,8
13.00, 5.71,8
14.00, 8.82,8
15.00, 0.00,8
16.00,-12.93,8
17.00,-5.71,8
18.00,-18.07,8
19.00,-8.82,8
