Test-File1,Y-unit!,1
04:04PM on January 30,2018,1
 0.00,19.00,1
 1.00,12.94,1
 2.00, 4.94,1
 3.00,-0.93,1
 4.00,-7.28,1
 5.00,-17.00,1
 6.00,-4.05,1
 7.00,-3.71,1
 8.00, 1.24,1
 9.00,19.42,1
10.00,13.00,1
Test-File1,Y-unit!,2
04:04PM on January 30,2018,2
 0.00,19.00,2
 1.00,12.94,2
 2.00, 4.94,2
 3.00,-0.93,2
 4.00,-7.28,2
 5.00,-17.00,2
 6.00,-4.05,2
 7.00,-3.71,2
 8.00, 1.24,2
 9.00,19.42,2
10.00,13.00,2
Test-File1,Y-unit!,3
04:20PM on January 30,2018,3
 2.00, 2.78,3
 3.00,-3.09,3
 4.00,-4.05,3
 5.00,-19.00,3
 6.00,-11.33,3
 7.00,-2.78,3
 8.00, 4.94,3
 9.00, 2.43,3
10.00,28.00,3
11.00, 4.85,3
12.00, 4.02,3
13.00,-2.47,3
14.00,-6.47,3
15.00,-9.00,3
16.00,-5.66,3
17.00,-6.49,3
18.00, 8.34,3
19.00, 4.85,3
20.00, 6.00,3
21.00,10.52,3
22.00, 3.09,3
23.00,-2.16,3
24.00,-2.43,3
25.00,-29.00,3
26.00,-9.71,3
27.00,-8.03,3
28.00, 9.27,3
29.00,14.56,3
30.00,12.00,3
31.00,11.33,3
32.00, 4.33,3
33.00,-5.56,3
34.00,-4.85,3
35.00,-4.00,3
36.00,-18.61,3
37.00,-8.65,3
38.00, 3.40,3
39.00, 2.43,3
40.00,23.00,3
41.00, 3.24,3
42.00, 7.42,3
43.00,-1.85,3
44.00,-22.65,3
45.00,-30.00,3
46.00,-23.46,3
47.00,-8.34,3
48.00, 4.94,3
49.00, 4.85,3
50.00,22.00,3
51.00, 6.47,3
52.00, 4.33,3
53.00,-7.42,3
54.00,-12.94,3
55.00,-17.00,3
56.00,-22.65,3
57.00,-0.93,3
58.00, 2.47,3
59.00,18.61,3
60.00,15.00,3
61.00, 6.47,3
62.00, 1.24,3
63.00,-0.93,3
64.00,-2.43,3
65.00,-23.00,3
66.00,-13.75,3
67.00,-7.11,3
68.00, 2.16,3
69.00,13.75,3
70.00,17.00,3
71.00,12.94,3
Test-File1,Y-unit!,4
04:20PM on January 30,2018,4
 2.00, 2.78,4
 3.00,-3.09,4
 4.00,-4.05,4
 5.00,-19.00,4
 6.00,-11.33,4
 7.00,-2.78,4
 8.00, 4.94,4
 9.00, 2.43,4
10.00,28.00,4
11.00, 4.85,4
12.00, 4.02,4
13.00,-2.47,4
14.00,-6.47,4
15.00,-9.00,4
16.00,-5.66,4
17.00,-6.49,4
18.00, 8.34,4
19.00, 4.85,4
20.00, 6.00,4
21.00,10.52,4
22.00, 3.09,4
23.00,-2.16,4
24.00,-2.43,4
25.00,-29.00,4
26.00,-9.71,4
27.00,-8.03,4
28.00, 9.27,4
29.00,14.56,4
30.00,12.00,4
31.00,11.33,4
32.00, 4.33,4
33.00,-5.56,4
34.00,-4.85,4
35.00,-4.00,4
36.00,-18.61,4
37.00,-8.65,4
38.00, 3.40,4
39.00, 2.43,4
40.00,23.00,4
41.00, 3.24,4
42.00, 7.42,4
43.00,-1.85,4
44.00,-22.65,4
45.00,-30.00,4
46.00,-23.46,4
47.00,-8.34,4
48.00, 4.94,4
49.00, 4.85,4
50.00,22.00,4
51.00, 6.47,4
52.00, 4.33,4
53.00,-7.42,4
54.00,-12.94,4
55.00,-17.00,4
56.00,-22.65,4
57.00,-0.93,4
58.00, 2.47,4
59.00,18.61,4
60.00,15.00,4
61.00, 6.47,4
62.00, 1.24,4
63.00,-0.93,4
64.00,-2.43,4
65.00,-23.00,4
66.00,-13.75,4
67.00,-7.11,4
68.00, 2.16,4
69.00,13.75,4
70.00,17.00,4
71.00,12.94,4
Test-File1,Y-unit!,5
04:20PM on January 30,2018,5
 2.00, 2.78,5
 3.00,-3.09,5
 4.00,-4.05,5
 5.00,-19.00,5
 6.00,-11.33,5
 7.00,-2.78,5
 8.00, 4.94,5
 9.00, 2.43,5
10.00,28.00,5
11.00, 4.85,5
12.00, 4.02,5
13.00,-2.47,5
14.00,-6.47,5
15.00,-9.00,5
16.00,-5.66,5
17.00,-6.49,5
18.00, 8.34,5
19.00, 4.85,5
20.00, 6.00,5
21.00,10.52,5
22.00, 3.09,5
23.00,-2.16,5
24.00,-2.43,5
25.00,-29.00,5
26.00,-9.71,5
27.00,-8.03,5
28.00, 9.27,5
29.00,14.56,5
30.00,12.00,5
31.00,11.33,5
32.00, 4.33,5
33.00,-5.56,5
34.00,-4.85,5
35.00,-4.00,5
36.00,-18.61,5
37.00,-8.65,5
38.00, 3.40,5
39.00, 2.43,5
40.00,23.00,5
41.00, 3.24,5
42.00, 7.42,5
43.00,-1.85,5
44.00,-22.65,5
45.00,-30.00,5
46.00,-23.46,5
47.00,-8.34,5
48.00, 4.94,5
49.00, 4.85,5
50.00,22.00,5
51.00, 6.47,5
52.00, 4.33,5
53.00,-7.42,5
54.00,-12.94,5
55.00,-17.00,5
56.00,-22.65,5
57.00,-0.93,5
58.00, 2.47,5
59.00,18.61,5
60.00,15.00,5
61.00, 6.47,5
62.00, 1.24,5
63.00,-0.93,5
64.00,-2.43,5
65.00,-23.00,5
66.00,-13.75,5
67.00,-7.11,5
68.00, 2.16,5
69.00,13.75,5
70.00,17.00,5
71.00,12.94,5
Test-File4,Y-unit!,6
04:20PM on January 30,2018,6
 2.00,27.58,6
 3.00,14.27,6
 4.00, 3.53,6
 5.00, 0.00,6
 6.00,-8.23,6
 7.00,-13.31,6
 8.00,-9.51,6
 9.00,-7.64,6
10.00,-0.00,6
11.00, 5.88,6
12.00, 2.85,6
13.00, 5.71,6
14.00, 8.82,6
15.00, 0.00,6
16.00,-12.93,6
17.00,-5.71,6
18.00,-18.07,6
19.00,-8.82,6
20.00,-0.00,6
21.00,17.63,6
22.00,11.41,6
23.00,14.27,6
24.00, 2.94,6
25.00, 0.00,6
26.00,-8.23,6
27.00,-15.22,6
28.00,-2.85,6
29.00,-5.88,6
30.00,-0.00,6
31.00, 5.29,6
32.00, 1.90,6
33.00,25.68,6
34.00,13.52,6
35.00, 0.00,6
36.00,-12.93,6
37.00,-15.22,6
38.00,-19.02,6
39.00,-9.40,6
40.00,-0.00,6
41.00, 1.18,6
42.00,19.02,6
43.00,22.83,6
44.00,17.05,6
45.00, 0.00,6
46.00,-10.58,6
47.00,-7.61,6
48.00,-28.53,6
49.00,-4.11,6
50.00,-0.00,6
51.00, 9.99,6
52.00,20.92,6
53.00,22.83,6
54.00,14.11,6
55.00,-0.00,6
56.00,-16.46,6
57.00,-1.90,6
58.00,-10.46,6
59.00,-6.47,6
60.00,-0.00,6
61.00,15.28,6
62.00,15.22,6
63.00, 6.66,6
64.00, 3.53,6
65.00, 0.00,6
66.00,-15.87,6
67.00,-28.53,6
68.00,-26.63,6
69.00,-2.35,6
70.00,-0.00,6
71.00,12.34,6
Test-File4,Y-unit!,7
04:20PM on January 30,2018,7
 4.00, 3.53,7
 5.00, 0.00,7
 6.00,-8.23,7
 7.00,-13.31,7
 8.00,-9.51,7
 9.00,-7.64,7
10.00,-0.00,7
11.00, 5.88,7
12.00, 2.85,7
13.00, 5.71,7
14.00, 8.82,7
15.00, 0.00,7
16.00,-12.93,7
17.00,-5.71,7
18.00,-18.07,7
19.00,-8.82,7
20.00,-0.00,7
21.00,17.63,7
22.00,11.41,7
23.00,14.27,7
24.00, 2.94,7
25.00, 0.00,7
26.00,-8.23,7
27.00,-15.22,7
28.00,-2.85,7
29.00,-5.88,7
30.00,-0.00,7
31.00, 5.29,7
32.00, 1.90,7
33.00,25.68,7
34.00,13.52,7
35.00, 0.00,7
36.00,-12.93,7
37.00,-15.22,7
38.00,-19.02,7
39.00,-9.40,7
40.00,-0.00,7
41.00, 1.18,7
42.00,19.02,7
43.00,22.83,7
44.00,17.05,7
45.00, 0.00,7
46.00,-10.58,7
47.00,-7.61,7
48.00,-28.53,7
49.00,-4.11,7
50.00,-0.00,7
51.00, 9.99,7
52.00,20.92,7
53.00,22.83,7
54.00,14.11,7
55.00,-0.00,7
56.00,-16.46,7
57.00,-1.90,7
58.00,-10.46,7
59.00,-6.47,7
60.00,-0.00,7
61.00,15.28,7
62.00,15.22,7
63.00, 6.66,7
64.00, 3.53,7
65.00, 0.00,7
66.00,-15.87,7
67.00,-28.53,7
68.00,-26.63,7
69.00,-2.35,7
70.00,-0.00,7
71.00,12.34,7
72.00,28.53,7
73.00,23.78,7
Test-File4,Y-unit!,8
04:20PM on January 30,2018,8
 4.00, 3.53,8
 5.00, 0.00,8
 6.00,-8.23,8
 7.00,-13.31,8
 8.00,-9.51,8
 9.00,-7.64,8
10.00,-0.00,8
11.00, 5.88,8
12.00, 2.85,8
13.00, 5.71,8
14.00, 8.82,8
15.00, 0.00,8
16.00,-12.93,8
17.00,-5.71,8
18.00,-18.07,8
19.00,-8.82,8
20.00,-0.00,8
21.00,17.63,8
22.00,11.41,8
23.00,14.27,8
24.00, 2.94,8
25.00, 0.00,8
26.00,-8.23,8
27.00,-15.22,8
28.00,-2.85,8
29.00,-5.88,8
30.00,-0.00,8
31.00, 5.29,8
32.00, 1.90,8
33.00,25.68,8
34.00,13.52,8
35.00, 0.00,8
36.00,-12.93,8
37.00,-15.22,8
38.00,-19.02,8
39.00,-9.40,8
40.00,-0.00,8
41.00, 1.18,8
42.00,19.02,8
43.00,22.83,8
44.00,17.05,8
45.00, 0.00,8
46.00,-10.58,8
47.00,-7.61,8
48.00,-28.53,8
49.00,-4.11,8
50.00,-0.00,8
51.00, 9.99,8
52.00,20.92,8
53.00,22.83,8
54.00,14.11,8
55.00,-0.00,8
56.00,-16.46,8
57.00,-1.90,8
58.00,-10.46,8
59.00,-6.47,8
60.00,-0.00,8
61.00,15.28,8
62.00,15.22,8
63.00, 6.66,8
64.00, 3.53,8
65.00, 0.00,8
66.00,-15.87,8
67.00,-28.53,8
68.00,-26.63,8
69.00,-2.35,8
70.00,-0.00,8
71.00,12.34,8
72.00,28.53,8
73.00,23.78,8
Test-File1,Y-unit!,9
04:20PM on January 30,2018,9
10.00,28.00,9
11.00, 4.85,9
12.00, 4.02,9
13.00,-2.47,9
14.00,-6.47,9
15.00,-9.00,9
16.00,-5.66,9
17.00,-6.49,9
18.00, 8.34,9
19.00, 4.85,9
20.00, 6.00,9
21.00,10.52,9
22.00, 3.09,9
23.00,-2.16,9
24.00,-2.43,9
25.00,-29.00,9
26.00,-9.71,9
27.00,-8.03,9
28.00, 9.27,9
29.00,14.56,9
30.00,12.00,9
31.00,11.33,9
32.00, 4.33,9
33.00,-5.56,9
34.00,-4.85,9
35.00,-4.00,9
36.00,-18.61,9
37.00,-8.65,9
38.00, 3.40,9
39.00, 2.43,9
40.00,23.00,9
41.00, 3.24,9
42.00, 7.42,9
43.00,-1.85,9
44.00,-22.65,9
45.00,-30.00,9
46.00,-23.46,9
47.00,-8.34,9
48.00, 4.94,9
49.00, 4.85,9
50.00,22.00,9
51.00, 6.47,9
52.00, 4.33,9
53.00,-7.42,9
54.00,-12.94,9
55.00,-17.00,9
56.00,-22.65,9
57.00,-0.93,9
58.00, 2.47,9
59.00,18.61,9
60.00,15.00,9
61.00, 6.47,9
62.00, 1.24,9
63.00,-0.93,9
64.00,-2.43,9
65.00,-23.00,9
66.00,-13.75,9
67.00,-7.11,9
68.00, 2.16,9
69.00,13.75,9
70.00,17.00,9
71.00,12.94,9
72.00, 5.56,9
73.00,-6.49,9
74.00,-18.61,9
75.00,-4.00,9
76.00,-4.05,9
77.00,-6.49,9
78.00, 8.03,9
79.00,15.37,9
Test-File3,Y-unit!,10
04:20PM on January 30,2018,10
10.00,-16.00,10
11.00,-10.46,10
12.00,-5.66,10
13.00,-14.11,10
14.00,-2.78,10
15.00,-0.00,10
16.00, 4.33,10
17.00, 2.35,10
18.00, 9.71,10
19.00,17.12,10
20.00,20.00,10
21.00,19.02,10
22.00, 4.05,10
23.00, 2.35,10
24.00, 0.93,10
25.00, 0.00,10
26.00,-2.47,10
27.00,-9.40,10
28.00,-8.09,10
29.00,-22.83,10
30.00,-12.00,10
31.00,-27.58,10
32.00,-13.75,10
33.00,-17.05,10
34.00,-8.65,10
35.00,-0.00,10
36.00, 8.03,10
37.00, 6.47,10
38.00,19.42,10
39.00,12.36,10
40.00,12.00,10
41.00,16.17,10
42.00, 4.85,10
43.00,17.63,10
44.00, 9.27,10
45.00, 0.00,10
46.00,-8.65,10
47.00,-17.63,10
48.00,-8.90,10
49.00,-22.83,10
50.00,-15.00,10
51.00,-15.22,10
52.00,-4.05,10
53.00,-5.88,10
54.00,-3.40,10
55.00, 0.00,10
56.00, 1.24,10
57.00, 1.76,10
58.00,16.99,10
59.00,12.36,10
60.00, 3.00,10
61.00, 5.71,10
62.00, 7.28,10
63.00, 5.29,10
64.00, 7.42,10
65.00, 0.00,10
66.00,-1.55,10
67.00,-17.05,10
68.00,-24.27,10
69.00,-20.92,10
